denisake,Tue, 31 Jan 2023 01:19:26 EET
Method,CogC,v(G)
com.socialnetwork.app.service.AppService.getAllUsers(),0,1
com.socialnetwork.app.service.AppService.getFriendRequests(int),6,4
com.socialnetwork.app.service.AppService.getFriends(int),8,6
"com.socialnetwork.app.service.AppService.getMessagesBetweenUsers(int, int)",1,2
com.socialnetwork.app.service.AppService.getMessagesForUser(int),1,2
com.socialnetwork.app.service.AppService.mostSociableCommunity(),6,4
com.socialnetwork.app.service.AppService.notifyObserevers(),0,1
com.socialnetwork.app.service.AppService.numberOfCommunities(),0,1
com.socialnetwork.app.service.AppService.remove(int),0,1
"com.socialnetwork.app.service.AppService.removeFriendship(int, int)",0,1
com.socialnetwork.app.service.AppService.removeObserver(Observer),0,1
com.socialnetwork.app.service.AppService.sizeFriendships(),0,1
com.socialnetwork.app.service.AppService.sizeUsers(),0,1
"com.socialnetwork.app.service.AppService.update(int, String, String, String)",0,1
com.socialnetwork.app.tests.Tests.run(),0,1
"compare(Message, Message)",0,n/a
"updateItem(String, boolean)",3,n/a

Class,CBO,DIT,LCOM,NOC,WMC
com.socialnetwork.app.HelloApplication,0,2,2,0,2
com.socialnetwork.app.HelloController,0,1,1,0,1
com.socialnetwork.app.Main,15,2,2,0,2
com.socialnetwork.app.controllers.LoginInterfaceController,6,1,2,0,5
com.socialnetwork.app.controllers.UserMainIntefaceRefurbishedController,10,1,1,0,27
com.socialnetwork.app.controllers.UserMainInterfaceController,7,1,1,0,17
com.socialnetwork.app.domain.Entity,14,1,3,3,6
com.socialnetwork.app.domain.Friendship,10,2,2,0,16
com.socialnetwork.app.domain.Message,8,2,2,0,9
com.socialnetwork.app.domain.MessageDTO,1,1,2,0,3
com.socialnetwork.app.domain.User,16,2,1,0,16
com.socialnetwork.app.domain.UserDTOFriend,4,1,3,0,5
com.socialnetwork.app.domain.validation.FriendshipValidator,6,1,2,0,3
com.socialnetwork.app.domain.validation.UserValidator,5,1,2,0,7
com.socialnetwork.app.exceptions.NetworkException,2,3,0,0,5
com.socialnetwork.app.exceptions.RepoException,11,3,1,0,6
com.socialnetwork.app.exceptions.ValidationException,6,3,1,0,6
com.socialnetwork.app.presentation.UI,6,1,1,0,30
com.socialnetwork.app.repository.AbstractRepo,9,1,3,3,18
com.socialnetwork.app.repository.FriendshipRepo,9,2,5,0,12
com.socialnetwork.app.repository.MessageRepo,8,2,5,0,7
